feature,brier_importance,importance_std
imbalance_ratio,0.0031838623463343986,0.000456233447278386
imbalance,0.0023111266378387342,0.0005060554231185534
margin_ratio,0.002076774008718646,0.0004547290638965142
month_cos,0.0019005912503032795,0.00030564688881413863
hour_sin,0.001695599693895239,0.00019879564931067566
hour_cos,0.0014700448953869738,0.0003295428757516173
is_weekend,0.0010522385858107053,0.00014103469994659895
dow_cos,0.00019000659767832163,0.00014760832270524154
demand,0.00014331516002298318,0.0002122950212481848
dow_sin,0.0001308016563914993,9.566966205698807e-05
month_sin,8.028179122626655e-06,0.00013622623427357128
margin,-2.7363277939057574e-05,0.0001811770446763511
generation,-0.0003008590867878136,0.00010247029663463577
residual_demand,-0.0003153848035529705,7.002275129119216e-05
wind_share,-0.00047381505322842133,9.712292197805649e-05
