model,auc,brier,log_loss,accuracy,ece_10_bins,mean_probability,actual_short_rate,stage
Extra Trees,0.6442361457647573,0.23349234585883097,0.6590781052194365,0.6040528233151184,0.008410543273165266,0.47531064372150633,0.4758082877959927,2024 validation
Logistic regression,0.6339876763020867,0.23723030128534703,0.6678669845613537,0.5955714936247724,0.02565731731221107,0.5014656051082037,0.4758082877959927,2024 validation
Constant baseline,0.5,0.2501801094735673,0.6935074054951658,0.4758082877959927,0.027664931102910795,0.5034732188989035,0.4758082877959927,2024 validation
Extra Trees,0.6321012400549183,0.23523814829946665,0.6627385534826336,0.5985730593607306,0.012849257983157988,0.4615291007556838,0.4597602739726027,2025 test
Logistic regression,0.6137135377061361,0.24140559734899383,0.6770878875872585,0.589041095890411,0.02955672921100354,0.48060351389936595,0.4597602739726027,2025 test
Constant baseline,0.5,0.24956679977052867,0.6922807427352824,0.5402397260273972,0.03443886353073661,0.49419913750333944,0.4597602739726027,2025 test
